State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--x x-- oo-, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    ,  5.723900
--x x-o --o,  7.190000,  5.723900,     -    ,     -    , -0.837100,     -    ,  7.190000,  5.723900,     -    
--x x-o -o-,  7.190000, -0.837100,     -    ,     -    , -0.837100,     -    ,  7.190000,     -    , -0.837100
--x x-o o--, -0.837100, -0.837100,     -    ,     -    , -0.837100,     -    ,     -    , -0.837100, -0.837100
--x x-o oox,  7.190000, -0.910000,     -    ,     -    , -0.910000,     -    ,     -    ,     -    ,     -    
--x x-o oxo, -0.910000,  7.190000,     -    ,     -    , -0.910000,     -    ,     -    ,     -    ,     -    
--x x-o xoo,  9.000000,  7.190000,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
--x xo- --o,  7.190000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    
--x xo- -o-, -9.100000, -0.837100,     -    ,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000
--x xo- o--, -0.837100, -0.837100,     -    ,     -    ,     -    , -7.471000,     -    , -0.837100, -0.837100
--x xo- oox, -9.100000,  7.190000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    
--x xo- oxo, -0.910000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--x xo- xoo,  9.000000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--x xoo ---,  7.190000, -0.837100,     -    ,     -    ,     -    ,     -    , -0.837100, -0.837100, -0.837100
--x xoo -ox, -9.100000, -0.910000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--x xoo -xo,  7.190000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--x xoo o-x, -0.910000, -0.910000,     -    ,     -    ,     -    ,     -    ,     -    , -0.910000,     -    
--x xoo ox-, -0.910000, -0.910000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.910000
--x xoo x-o,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--x xoo xo-,  9.000000, -0.910000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
--x xox -oo, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--x xox o-o, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--x xox oo-, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
--x xxo -oo, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
--x xxo o-o, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -0.910000,     -    
--x xxo oo-, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,     -    , -0.910000
-o- --- --x, -0.778051,     -    ,  5.723900, -0.778051,  5.723900, -6.151510,  5.723900, -0.778051,     -    
-o- --- -x-, -0.778051,     -    , -0.778051, -0.778051, -0.778051, -0.778051, -0.778051,     -    , -0.778051
-o- --- oxx, -0.837100,     -    , -0.837100, -7.471000, -7.471000, -7.471000,     -    ,     -    ,     -    
-o- --- x--,  5.723900,     -    , -0.778051, -6.151510,  5.723900, -0.778051,     -    , -0.778051,  5.723900
-o- --- xox, -9.100000,     -    , -9.100000, -9.100000,  7.190000, -9.100000,     -    ,     -    ,     -    
-o- --- xxo, -0.837100,     -    , -0.837100, -7.471000, -7.471000, -7.471000,     -    ,     -    ,     -    
-o- --o -xx,  7.190000,     -    , -0.837100, -0.837100,  7.190000,     -    ,  9.000000,     -    ,     -    
