State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
ox- -x- x-o,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    
ox- -x- xo-,     -    ,     -    , -0.181000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000
ox- -xo --x,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000, -0.181000,     -    
ox- -xo x--,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000
ox- -xo xox,     -    ,     -    , -0.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
ox- -xx --o,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
ox- -xx -o-,     -    ,     -    , -9.100000, -0.181000,     -    ,     -    , -9.100000,     -    , -9.100000
ox- -xx o--,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    ,     -    , -9.100000, -9.100000
ox- -xx oox,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    
ox- -xx xoo,     -    ,     -    , -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
ox- o-- -xx,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000,  9.000000,     -    ,     -    
ox- o-- x-x,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000,     -    , -7.471000,     -    
ox- o-- xx-,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    , -9.100000
ox- o-x --x,     -    ,     -    , -0.181000,     -    , -9.100000,     -    ,  9.000000, -9.100000,     -    
ox- o-x -x-,     -    ,     -    , -9.100000,     -    ,  7.190000,     -    ,  9.000000,     -    , -9.100000
ox- o-x x--,     -    ,     -    , -7.471000,     -    , -7.471000,     -    ,     -    , -7.471000, -7.471000
ox- o-x xox,     -    ,     -    , -0.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
ox- o-x xxo,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
ox- oox -xx,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
ox- oox x-x,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
ox- oox xx-,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
ox- ox- --x,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,  9.000000, -0.181000,     -    
ox- ox- x--,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
ox- ox- xox,     -    ,     -    , -0.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
ox- oxo x-x,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
ox- oxx ---,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,  9.000000, -0.181000, -9.100000
ox- oxx -ox,     -    ,     -    , -0.100000,     -    ,     -    ,     -    ,  9.000000,     -    ,     -    
ox- oxx x-o,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
ox- oxx xo-,     -    ,     -    , -0.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
ox- x-- ---,     -    ,     -    , -7.471000,     -    , -0.246610, -0.246610, -7.471000, -0.246610, -7.471000
ox- x-- -ox,     -    ,     -    , -0.181000,     -    , -0.181000, -0.181000, -7.471000,     -    ,     -    
ox- x-- -xo,     -    ,     -    , -9.100000,     -    ,  9.000000, -9.100000, -9.100000,     -    ,     -    
ox- x-- o-x,     -    ,     -    , -7.471000,     -    , -0.181000, -0.181000,     -    , -7.471000,     -    
ox- x-- ox-,     -    ,     -    , -9.100000,     -    ,  7.190000, -9.100000,     -    ,     -    , -9.100000
ox- x-- x-o,     -    ,     -    ,  7.190000,     -    ,  9.000000,  7.190000,     -    , -7.471000,     -    
ox- x-- xo-,     -    ,     -    , -0.181000,     -    , -0.181000, -0.181000,     -    ,     -    , -7.471000
ox- x-o --x,     -    ,     -    , -7.471000,     -    , -0.181000,     -    , -0.181000, -0.181000,     -    
ox- x-o -x-,     -    ,     -    , -9.100000,     -    , -0.181000,     -    , -9.100000,     -    , -9.100000
ox- x-o oxx,     -    ,     -    , -9.100000,     -    , -0.100000,     -    ,     -    ,     -    ,     -    
ox- x-o x--,     -    ,     -    , -0.181000,     -    , -0.181000,     -    ,     -    , -0.181000,  7.190000
ox- x-o xox,     -    ,     -    , -0.100000,     -    , -0.100000,     -    ,     -    ,     -    ,     -    
ox- x-o xxo,     -    ,     -    ,  9.000000,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
ox- x-x --o,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    , -9.100000, -9.100000,     -    
ox- x-x -o-,     -    ,     -    , -9.100000,     -    , -0.181000,     -    , -9.100000,     -    , -9.100000
ox- x-x o--,     -    ,     -    , -9.100000,     -    ,  7.190000,     -    ,     -    , -9.100000, -9.100000
ox- x-x oox,     -    ,     -    , -9.100000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
ox- x-x oxo,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
ox- x-x xoo,     -    ,     -    , -9.100000,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    
ox- xo- --x,     -    ,     -    , -0.181000,     -    ,     -    , -0.181000, -0.181000, -0.181000,     -    
ox- xo- -x-,     -    ,     -    ,  7.190000,     -    ,     -    , -0.181000,  7.190000,     -    ,  9.000000
ox- xo- oxx,     -    ,     -    ,  9.000000,     -    ,     -    , -0.100000,     -    ,     -    ,     -    
ox- xo- x--,     -    ,     -    , -0.181000,     -    ,     -    , -0.181000,     -    , -0.181000,  9.000000
ox- xo- xox,     -    ,     -    , -0.100000,     -    ,     -    , -0.100000,     -    ,     -    ,     -    
ox- xoo -xx,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -0.100000,     -    ,     -    
ox- xoo x-x,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -0.100000,     -    
ox- xoo xx-,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
ox- xox ---,     -    ,     -    ,  7.190000,     -    ,     -    ,     -    ,  7.190000, -0.181000,  9.000000
ox- xox -ox,     -    ,     -    , -0.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
ox- xox o-x,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
ox- xox ox-,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
ox- xox xo-,     -    ,     -    , -0.100000,     -    ,     -    ,     -    ,     -    ,     -    ,  9.000000
ox- xx- --o,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    
ox- xx- -o-,     -    ,     -    , -9.100000,     -    ,     -    , -0.181000, -9.100000,     -    , -9.100000
ox- xx- o--,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
ox- xx- oox,     -    ,     -    , -9.100000,     -    ,     -    , -0.100000,     -    ,     -    ,     -    
ox- xx- xoo,     -    ,     -    , -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
ox- xxo ---,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -9.100000, -0.181000, -9.100000
ox- xxo -ox,     -    ,     -    , -0.100000,     -    ,     -    ,     -    , -0.100000,     -    ,     -    
ox- xxo o-x,     -    ,     -    , -9.100000,     -    ,     -    ,     -    ,     -    , -0.100000,     -    
ox- xxo x-o,     -    ,     -    ,  9.000000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
ox- xxo xo-,     -    ,     -    , -0.100000,     -    ,     -    ,     -    ,     -    ,     -    , -9.100000
oxo --- -xx,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    
oxo --- x-x,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    , -0.181000,     -    
oxo --- xx-,     -    ,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000
oxo --x --x,     -    ,     -    ,     -    , -0.181000, -0.181000,     -    ,  7.190000, -0.181000,     -    
oxo --x -x-,     -    ,     -    ,     -    , -9.100000,  7.190000,     -    , -9.100000,     -    , -9.100000
oxo --x oxx,     -    ,     -    ,     -    ,  9.000000,  9.000000,     -    ,     -    ,     -    ,     -    
oxo --x x--,     -    ,     -    ,     -    , -7.471000, -0.181000,     -    ,     -    , -0.181000, -7.471000
oxo --x xox,     -    ,     -    ,     -    , -0.100000, -0.100000,     -    ,     -    ,     -    ,     -    
oxo --x xxo,     -    ,     -    ,     -    , -9.100000,  9.000000,     -    ,     -    ,     -    ,     -    
oxo -ox -xx,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,  9.000000,     -    ,     -    
oxo -ox x-x,     -    ,     -    ,     -    , -9.100000,     -    ,     -    ,     -    , -0.100000,     -    
